title,text,subject,date,label
City Council Approves New Park Project,Municipal officials voted to convert an abandoned lot into a public recreational area.,Local,2023-10-17,0
Ancient Aliens Built the Pyramids,Archaeologists confirm that extraterrestrials constructed Egypt's pyramids using advanced technology.,History,2023-10-18,1
Drug FDA Approval Process Takes Two Years,The pharmaceutical company announced successful completion of trials for their new treatment.,Science,2023-10-19,0
5G Towers Spreading Disease to Make People Sick,Cell towers are deliberately transmitting harmful radiation to control the population.,Technology,2023-10-20,1
Peace Treaty Signed Between Nations,Two countries signed a historic agreement to end their decades-long conflict.,Politics,2023-10-21,0
Billionaires Meet in Secret Bunker to Control World,Ultra-wealthy individuals gathered underground to discuss their plan to rule humanity.,Politics,2023-10-22,1
New Cancer Treatment Shows Promise,Clinical trials indicate a new immunotherapy treatment has a 70% success rate.,Health,2023-10-23,0
Flat Earth Conference Brings Experts Together,Scientists and researchers gathered to present evidence that the Earth is actually flat.,Science,2023-10-24,1
Climate Scientists Release New Report,Research shows global temperatures are rising due to human activity at record rates.,Environment,2023-10-25,0
Water-Powered Cars Available Next Month,An inventor claims his new engine runs on water and produces only oxygen as exhaust.,Technology,2023-10-26,1
Renewable Energy Reaches New Milestone,Wind and solar energy now account for 25% of the nation's total power generation.,Environment,2023-10-27,0
Secret Society Runs Governments Worldwide,Underground networks of elites secretly control all world governments and major events.,Politics,2023-10-28,1
Olympics Draws Record Viewership,Broadcasting statistics show the international games attracted the largest audience ever recorded.,Sports,2023-10-29,0
Cure for All Diseases Found in Rare Herb,A jungle plant cures cancer diabetes and aging but pharmaceutical companies hide the truth.,Health,2023-10-30,1
International Trade Agreement Signed,Countries reach consensus on new tariff policies to promote fair commerce.,Economics,2023-10-31,0
Chemtrails Poisoning the Atmosphere,Airplane contrails are actually chemical weapons designed to control human behavior.,Environment,2023-11-01,1
Bank Reports Record Quarterly Profits,Financial institutions announced strong earnings driven by investment banking growth.,Economics,2023-11-02,0
Mind Control Technology Perfected,Government agencies have developed technology to read and control people's thoughts remotely.,Politics,2023-11-03,1
Museum Exhibit Showcases Local Artists,A new gallery features works by over 50 regional painters and sculptors.,Arts,2023-11-04,0
Zombies Spotted in Rural Areas,Witnesses claim to have seen the undead walking through farmland at night.,Breaking News,2023-11-05,1
Sports Team Wins Championship,The home team defeated rivals in a thrilling match to capture their first title in a decade.,Sports,2023-11-06,0
Reptilian Shapeshifters Exposed,Video footage allegedly shows a politician transforming into a reptilian creature.,Breaking News,2023-11-07,1
Museum Receives Major Donation,A wealthy patron donated 10 million dollars to expand the contemporary art museum.,Local,2023-11-08,0
This One Food Stops All Aging,Eating this common vegetable reverses aging and could make you live 200 years.,Health,2023-11-09,1
Tech Conference Features Industry Leaders,Technology executives discussed innovation trends at the annual worldwide conference.,Technology,2023-11-10,0
NASA Discovers New Earth-like Planet,Astronomers using the James Webb Space Telescope identified an exoplanet in the habitable zone.,Science,2023-11-11,0
Breakthrough in Cancer Research,Scientists at Stanford University developed a new immunotherapy that shows promising results in clinical trials.,Health,2023-11-12,0
City Reduces Traffic Congestion by 20%,New transit system implemented in downtown reduced commute times significantly.,Local,2023-11-13,0
Federal Government Approves Infrastructure Bill,The U.S. Congress voted to approve a comprehensive $1.2 trillion infrastructure investment plan that will upgrade roadways bridges airports and public transit systems across the nation over the next five years.,Politics,2023-11-14,0
School District Wins Educational Excellence Award,Local schools recognized for innovative STEM programs and high graduation rates.,Education,2023-11-15,0
Stock Market Hits All-Time High,Major indices close at record levels driven by strong corporate earnings.,Economics,2023-11-16,0
Doctors Successfully Perform First Robot-Assisted Surgery,Medical team uses advanced robotics to complete complex procedure with precision.,Health,2023-11-17,0
New Environmental Protection Law Takes Effect,Government implements stricter regulations to reduce carbon emissions.,Environment,2023-11-18,0
Robots Built by Aliens Landing in Every City Next Week,Extraterrestrials are invading Earth with robotic armies to enslave humanity.,Breaking News,2023-11-19,1
Secret Underground City Discovered Beneath Manhattan,Tunnels containing a fully developed civilization found 2 miles below New York City.,Breaking News,2023-11-20,1
Giant Insects Attacking Beaches Across Florida,Huge mutant cockroaches the size of cars are terrorizing coastal communities.,Breaking News,2023-11-21,1
COVID-19 Vaccine Contains Tracking Nanobots,Doctors confirm that coronavirus vaccines implant microscopic surveillance devices.,Health,2023-11-22,1
Flat Earth NASA Conspiracy Finally Exposed,Evidence proves NASA has been lying about planetary shape for 50 years.,Science,2023-11-23,1
Princess Diana Alive and Living in Secret Compound,Late British royal spotted in hiding with hidden family far from media.,Breaking News,2023-11-24,1
Earth Will Enter Ice Age Next Winter,Scientists warn new ice age beginning with extreme cold weather arriving soon.,Environment,2023-11-25,1
Doctors Hate This One Weird Trick For Perfect Health,Celebrities use this $5 secret that pharmaceutical companies don't want you to know.,Health,2023-11-26,1
Deep State Shadow Government Runs All Countries,Illuminati elites secretly control all world events and governments.,Politics,2023-11-27,1
Hospital Opens New Pediatric Wing,Children's medical facility expands services with dedicated oncology and cardiology units.,Local,2023-11-28,0
University Receives $50 Million Research Grant,Foundation awards funding to study renewable energy technologies.,Education,2023-11-29,0
Technology Company Announces Quarterly Results,Revenue increases 15% year-over-year with strong growth in cloud services.,Technology,2023-11-30,0
Athletes Break Olympic Records,Multiple world records set during international sporting competition.,Sports,2023-12-01,0
Bird Flu Is Actually Man-Made Bioweapon,Intelligence agencies created flu virus in secret laboratory to control population.,Health,2023-12-02,1
Real Photos of Time Travelers Found in Old Photos,Historical images contain people from the future caught on camera.,Breaking News,2023-12-03,1
Government Creates Weather Control Machine,Scientists perfected technology to control hurricanes and storms.,Environment,2023-12-04,1
Billionaires Fund Clean Energy Initiative,Tech entrepreneurs invest billions in sustainable technology startups.,Economics,2023-12-05,0
Movie Studio Announces Blockbuster Film,Major production company releases action film featuring acclaimed director and cast.,Arts,2023-12-06,0
Supreme Court Issues Landmark Decision,Justices rule on major constitutional case with far-reaching implications.,Politics,2023-12-07,0
Restaurant Chain Opens Locations Nationwide,Fast food company expands to 500 new locations across the country.,Business,2023-12-08,0
Scientists Solve Ancient Mystery,Researchers use DNA analysis to determine origin of historical artifacts.,Science,2023-12-09,0
Microwave Ovens Are Killing You Slowly,Radiation from microwaves causes cancer and destroys your DNA permanently.,Health,2023-12-10,1
Lost City of Atlantis Found in Atlantic Ocean,Underwater archaeologists discover ancient civilization off the coast.,Breaking News,2023-12-11,1
5G Makes Humans Magnetic,Cell phone towers emit radiation that magnetizes human blood.,Technology,2023-12-12,1
Smartphone Satellites Spy on Everyone,Elon Musk satellites watch your every move with hidden cameras.,Technology,2023-12-13,1
Water Has Memory and Consciousness,Scientist proves water remembers everything and can be programmed by thoughts.,Science,2023-12-14,1
